Company,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,mo_return,GICS Sector,GICS Sub-Industry
^GSPC,2683.72998046875,2872.8701171875,2682.360107421875,2823.81005859375,77318690000,0.0,0.0,2018,1,1,,S&P500 Index,S&P500 Index
^GSPC,2816.449951171875,2835.9599609375,2532.68994140625,2713.830078125,79933970000,0.0,0.0,2018,2,1,-0.03894737187936775,S&P500 Index,S&P500 Index
^GSPC,2715.219970703125,2801.89990234375,2585.889892578125,2640.8701171875,76803890000,0.0,0.0,2018,3,1,-0.02688449860055661,S&P500 Index,S&P500 Index
^GSPC,2633.449951171875,2717.489990234375,2553.800048828125,2648.050048828125,70194700000,0.0,0.0,2018,4,1,0.0027187749953684033,S&P500 Index,S&P500 Index
^GSPC,2642.9599609375,2742.239990234375,2594.6201171875,2705.27001953125,76011820000,0.0,0.0,2018,5,1,0.02160834185458363,S&P500 Index,S&P500 Index
^GSPC,2718.699951171875,2791.469970703125,2691.989990234375,2718.3701171875,77891360000,0.0,0.0,2018,6,1,0.004842436267607731,S&P500 Index,S&P500 Index
^GSPC,2704.949951171875,2848.030029296875,2698.949951171875,2816.2900390625,64898300000,0.0,0.0,2018,7,1,0.036021556172899157,S&P500 Index,S&P500 Index
^GSPC,2821.169921875,2916.5,2796.340087890625,2901.52001953125,69523070000,0.0,0.0,2018,8,1,0.030263211276748244,S&P500 Index,S&P500 Index
^GSPC,2896.9599609375,2940.909912109375,2864.1201171875,2913.97998046875,63031510000,0.0,0.0,2018,9,1,0.0042942874264617166,S&P500 Index,S&P500 Index
^GSPC,2926.2900390625,2939.860107421875,2603.5400390625,2711.739990234375,91930980000,0.0,0.0,2018,10,1,-0.06940335609369636,S&P500 Index,S&P500 Index
^GSPC,2717.580078125,2815.14990234375,2631.090087890625,2760.169921875,80620020000,0.0,0.0,2018,11,1,0.017859356654779876,S&P500 Index,S&P500 Index
^GSPC,2790.5,2800.179931640625,2346.580078125,2506.85009765625,84162180000,0.0,0.0,2018,12,1,-0.09177689467997258,S&P500 Index,S&P500 Index
^GSPC,2476.9599609375,2708.949951171875,2443.9599609375,2704.10009765625,80859870000,0.0,0.0,2019,1,1,0.0786844016658262,S&P500 Index,S&P500 Index
^GSPC,2702.320068359375,2813.489990234375,2681.830078125,2784.489990234375,70638770000,0.0,0.0,2019,2,1,0.029728889343927055,S&P500 Index,S&P500 Index
^GSPC,2798.219970703125,2860.31005859375,2722.27001953125,2834.39990234375,79159660000,0.0,0.0,2019,3,1,0.017924256249588457,S&P500 Index,S&P500 Index
^GSPC,2848.6298828125,2949.52001953125,2848.6298828125,2945.830078125,70090370000,0.0,0.0,2019,4,1,0.03931349831373794,S&P500 Index,S&P500 Index
^GSPC,2952.330078125,2954.1298828125,2750.52001953125,2752.06005859375,77250740000,0.0,0.0,2019,5,1,-0.0657777313668354,S&P500 Index,S&P500 Index
^GSPC,2751.530029296875,2964.14990234375,2728.81005859375,2941.760009765625,71250630000,0.0,0.0,2019,6,1,0.06893016399824066,S&P500 Index,S&P500 Index
^GSPC,2971.409912109375,3027.97998046875,2952.219970703125,2980.3798828125,70599470000,0.0,0.0,2019,7,1,0.013128152166958007,S&P500 Index,S&P500 Index
^GSPC,2980.320068359375,3013.590087890625,2822.1201171875,2926.4599609375,80269220000,0.0,0.0,2019,8,1,-0.01809162724052388,S&P500 Index,S&P500 Index
^GSPC,2909.010009765625,3021.989990234375,2891.85009765625,2976.739990234375,74178980000,0.0,0.0,2019,9,1,0.017181177931020676,S&P500 Index,S&P500 Index
^GSPC,2983.68994140625,3050.10009765625,2855.93994140625,3037.56005859375,77720640000,0.0,0.0,2019,10,1,0.0204317705136841,S&P500 Index,S&P500 Index
^GSPC,3050.719970703125,3154.260009765625,3050.719970703125,3140.97998046875,72410620000,0.0,0.0,2019,11,1,0.03404703771449992,S&P500 Index,S&P500 Index
^GSPC,3143.85009765625,3247.929931640625,3070.330078125,3230.780029296875,72325540000,0.0,0.0,2019,12,1,0.02858981890573003,S&P500 Index,S&P500 Index
^GSPC,3244.669921875,3337.77001953125,3214.639892578125,3225.52001953125,77287980000,0.0,0.0,2020,1,1,-0.0016280928190489504,S&P500 Index,S&P500 Index
^GSPC,3235.659912109375,3393.52001953125,2855.840087890625,2954.219970703125,84436590000,0.0,0.0,2020,2,1,-0.08411048363840315,S&P500 Index,S&P500 Index
^GSPC,2974.280029296875,3136.719970703125,2191.860107421875,2584.590087890625,162185380000,0.0,0.0,2020,3,1,-0.12511928240892825,S&P500 Index,S&P500 Index
^GSPC,2498.080078125,2954.860107421875,2447.489990234375,2912.429931640625,123608160000,0.0,0.0,2020,4,1,0.1268440381652789,S&P500 Index,S&P500 Index
^GSPC,2869.090087890625,3068.669921875,2766.639892578125,3044.31005859375,107135190000,0.0,0.0,2020,5,1,0.045281819665558276,S&P500 Index,S&P500 Index
^GSPC,3038.780029296875,3233.1298828125,2965.659912109375,3100.2900390625,131458880000,0.0,0.0,2020,6,1,0.0183883965139243,S&P500 Index,S&P500 Index
^GSPC,3105.919921875,3279.989990234375,3101.169921875,3271.1201171875,96928130000,0.0,0.0,2020,7,1,0.055101321480443645,S&P500 Index,S&P500 Index
^GSPC,3288.260009765625,3514.77001953125,3284.530029296875,3500.31005859375,82466520000,0.0,0.0,2020,8,1,0.07006466690171771,S&P500 Index,S&P500 Index
^GSPC,3507.43994140625,3588.110107421875,3209.449951171875,3363.0,92310780000,0.0,0.0,2020,9,1,-0.03922797017842309,S&P500 Index,S&P500 Index
^GSPC,3385.8701171875,3549.85009765625,3233.93994140625,3269.9599609375,89938980000,0.0,0.0,2020,10,1,-0.02766578622137972,S&P500 Index,S&P500 Index
^GSPC,3296.199951171875,3645.989990234375,3279.739990234375,3621.6298828125,101247180000,0.0,0.0,2020,11,1,0.10754563544385906,S&P500 Index,S&P500 Index
^GSPC,3645.8701171875,3760.199951171875,3633.39990234375,3756.070068359375,96375680000,0.0,0.0,2020,12,1,0.03712145909357002,S&P500 Index,S&P500 Index
^GSPC,3764.610107421875,3870.89990234375,3662.7099609375,3714.239990234375,106117800000,0.0,0.0,2021,1,1,-0.011136660755445142,S&P500 Index,S&P500 Index
^GSPC,3731.169921875,3950.429931640625,3725.6201171875,3811.14990234375,99082320000,0.0,0.0,2021,2,1,0.026091451377448505,S&P500 Index,S&P500 Index
^GSPC,3842.510009765625,3994.409912109375,3723.340087890625,3972.889892578125,122371150000,0.0,0.0,2021,3,1,0.04243863253316524,S&P500 Index,S&P500 Index
^GSPC,3992.780029296875,4218.77978515625,3992.780029296875,4181.169921875,83124090000,0.0,0.0,2021,4,1,0.05242532134755841,S&P500 Index,S&P500 Index
^GSPC,4191.97998046875,4238.0400390625,4056.8798828125,4204.10986328125,88321860000,0.0,0.0,2021,5,1,0.005486488670607014,S&P500 Index,S&P500 Index
^GSPC,4216.52001953125,4302.43017578125,4164.39990234375,4297.5,102544180000,0.0,0.0,2021,6,1,0.02221400956583477,S&P500 Index,S&P500 Index
^GSPC,4300.72998046875,4429.97021484375,4233.1298828125,4395.259765625,84255620000,0.0,0.0,2021,7,1,0.022748054828388597,S&P500 Index,S&P500 Index
